t,x,y,yaw,v,w
1.0,0.6998,-0.0989,0.06,1.0046,0.0046
2.0,1.7683,-0.0092,0.11,1.0735,0.0203
3.0,2.8422,0.078,-0.03,1.0612,-0.3897
4.0,3.8661,-0.2036,-0.53,1.056,-0.5306
5.0,4.5893,-0.9235,-1.02,1.065,-0.4798
6.0,4.9298,-1.9252,-1.41,1.072,-0.1879
7.0,5.057,-2.9976,-1.48,1.0805,-0.1216
8.0,4.9978,-4.0639,-1.85,1.0635,-0.5315
9.0,4.4729,-4.9361,-2.37,1.0598,-0.5112
10.0,3.5567,-5.4599,-2.86,1.0669,-0.4829
11.0,2.489,-5.5243,3.05,1.0505,-0.1141
12.0,1.4081,-5.4854,-3.03,1.0752,0.4375
13.0,0.3909,-5.8205,-2.69,1.078,0.1071
14.0,-0.4709,-6.2496,-2.69,0.6909,-0.0043
15.0,-0.6895,-6.3568,-2.63,0.0015,0.0925
16.0,-0.6901,-6.357,-2.59,0.0003,-0.0
